               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032679,            0.021484,             0.06345,             0.39179,             0.57532,             0.42523,              0.2277,            0.019884,             0.01218,            0.031117,            0.070769,           0.0032479,           0.0032479
                   1,            0.027587,            0.016597,            0.032007,             0.58486,              0.7197,              0.6499,              0.3973,            0.017062,           0.0087687,            0.016508,            0.040701,           0.0065126,           0.0065126
                   2,            0.025192,            0.015729,            0.020297,              0.5469,             0.80209,             0.65686,             0.39282,            0.018179,           0.0091448,            0.014599,            0.010563,           0.0097079,           0.0097079
                   3,            0.027202,            0.015596,            0.016545,             0.72088,               0.767,             0.75814,             0.47195,            0.016802,           0.0084032,            0.011801,           0.0096874,           0.0096874,           0.0096874
                   4,            0.026656,            0.015317,            0.015871,             0.72237,             0.86967,             0.84675,             0.53377,            0.017102,           0.0081423,           0.0061599,           0.0096874,           0.0096874,           0.0096874
                   5,            0.025269,            0.014325,            0.012071,                0.78,             0.88762,             0.87408,               0.566,            0.016258,           0.0082529,           0.0048699,           0.0095832,           0.0095832,           0.0095832
                   6,            0.026361,            0.014548,            0.011789,             0.83328,              0.8929,             0.88342,             0.56469,            0.017408,           0.0078216,           0.0041892,           0.0094789,           0.0094789,           0.0094789
                   7,            0.028362,            0.014903,            0.013105,             0.79973,             0.88657,             0.87771,             0.57162,            0.016283,           0.0076851,           0.0061225,           0.0093747,           0.0093747,           0.0093747
                   8,            0.024307,             0.01318,            0.012171,             0.77643,             0.85885,             0.88658,             0.58468,            0.016474,           0.0078874,            0.008798,           0.0092705,           0.0092705,           0.0092705
                   9,            0.025727,            0.014534,            0.010809,             0.82378,             0.91819,             0.91386,             0.61279,            0.015353,           0.0073116,           0.0038131,           0.0091663,           0.0091663,           0.0091663
                  10,            0.025931,            0.013465,           0.0094312,             0.79462,             0.87681,             0.91539,             0.60003,            0.018202,           0.0073555,            0.003047,           0.0090621,           0.0090621,           0.0090621
                  11,            0.025597,            0.013511,           0.0080995,             0.84936,             0.88411,             0.93179,             0.61494,            0.016746,           0.0074757,           0.0027727,           0.0089579,           0.0089579,           0.0089579
                  12,            0.024404,            0.014021,           0.0074346,             0.87945,             0.91792,             0.91364,             0.60489,             0.01548,           0.0074517,           0.0018552,           0.0088537,           0.0088537,           0.0088537
                  13,            0.025187,            0.014271,           0.0087945,             0.85099,             0.95403,             0.91681,             0.61832,            0.015688,           0.0074284,           0.0020306,           0.0087495,           0.0087495,           0.0087495
                  14,            0.023778,            0.012644,            0.009506,             0.84612,             0.95093,             0.92761,             0.65494,            0.014217,           0.0072993,            0.001823,           0.0086453,           0.0086453,           0.0086453
                  15,            0.023218,            0.012509,           0.0083516,             0.82627,             0.90705,             0.89406,             0.60972,            0.016797,           0.0076555,           0.0028956,           0.0085411,           0.0085411,           0.0085411
                  16,            0.024605,            0.014007,           0.0073982,             0.85214,             0.91578,             0.92074,              0.6425,            0.014213,           0.0077301,           0.0034479,           0.0084368,           0.0084368,           0.0084368
                  17,            0.023294,            0.013409,           0.0069428,             0.87673,             0.94656,             0.92708,             0.61254,            0.016477,            0.007466,           0.0019542,           0.0083326,           0.0083326,           0.0083326
                  18,            0.022747,            0.012924,           0.0074471,              0.8656,             0.89757,             0.92133,             0.62934,             0.01461,           0.0075315,           0.0022504,           0.0082284,           0.0082284,           0.0082284
